Weight (lbs):,111.13026281173174
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.22,-0.88,3353,0.96,7186
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.13,-0.79,7186,0.62,7020
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.28,0.00,19978,1.24,7186
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.92,-6.49,6895,9.90,7061
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.36,-14,7103,7.31,7270
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.06,0.00,19978,16,7103
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.03,-0.37,3811,0.04,7561
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.07,-0.29,19978,0.13,7103
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.19,0.00,0,0.38,978
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,1.31,7145
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.23,0.00,19978,0.32,6978
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.25,0.00,19978,1.31,7145
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.37,6895,2.19,7061
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.10,0.00,19978,0.81,7270
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.58,6853,2.19,7061
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
55,2.23,0.03,-0.06,0.07,-2.05,0.30,2.07,0.03,0.03,0.04,0.03,0.00,0.03,0.86,0.03,0.86
56,2.27,-0.03,-0.04,0.05,-0.88,0.41,0.97,0.02,0.02,0.03,0.00,0.00,0.00,0.99,0.05,0.99
57,2.31,-0.04,-0.03,0.05,0.21,0.47,0.51,0.02,0.02,0.03,0.00,0.00,0.00,1.11,0.05,1.11
58,2.35,-0.02,-0.01,0.02,0.69,0.42,0.80,0.02,0.02,0.03,0.00,0.00,0.00,1.17,0.05,1.17
59,2.40,0.01,0.01,0.01,0.64,0.16,0.66,0.02,0.02,0.03,0.01,0.00,0.01,1.16,0.02,1.16
60,2.44,0.03,0.01,0.03,0.45,-0.15,0.47,0.02,0.02,0.03,0.04,0.00,0.04,1.14,0.00,1.14
61,2.48,0.05,-0.00,0.05,0.11,-0.21,0.24,0.02,0.02,0.03,0.05,0.00,0.05,1.10,0.00,1.10
62,2.52,0.04,-0.01,0.04,-0.21,-0.07,0.22,0.03,0.02,0.03,0.05,0.00,0.05,1.07,0.00,1.07
63,2.56,0.03,-0.01,0.03,-0.34,0.08,0.35,0.03,0.02,0.03,0.03,0.00,0.03,1.05,0.01,1.05
64,2.60,0.02,-0.00,0.02,-0.37,0.07,0.37,0.03,0.02,0.04,0.02,0.00,0.02,1.05,0.01,1.05
65,2.65,0.00,-0.00,0.01,-0.28,-0.10,0.30,0.03,0.02,0.04,0.00,0.00,0.00,1.06,0.00,1.06
66,2.69,-0.01,-0.01,0.01,-0.13,-0.17,0.21,0.03,0.02,0.04,0.00,0.00,0.00,1.08,0.00,1.08
67,2.73,-0.01,-0.02,0.02,0.02,-0.04,0.04,0.03,0.02,0.03,0.00,0.00,0.00,1.09,0.00,1.09
68,2.77,-0.00,-0.01,0.02,0.15,0.10,0.18,0.03,0.02,0.03,0.00,0.00,0.00,1.11,0.01,1.11
69,2.81,0.00,-0.01,0.01,0.12,0.15,0.19,0.03,0.02,0.03,0.00,0.00,0.00,1.10,0.02,1.10
70,2.85,0.00,-0.00,0.00,-0.08,0.18,0.20,0.03,0.02,0.03,0.00,0.00,0.00,1.08,0.02,1.08
71,2.90,-0.00,0.01,0.01,-0.24,0.17,0.30,0.03,0.02,0.03,0.00,0.00,0.00,1.06,0.02,1.06
72,2.94,-0.02,0.01,0.02,-0.32,0.17,0.36,0.03,0.02,0.03,0.00,0.00,0.00,1.05,0.02,1.05
73,2.98,-0.03,0.02,0.04,-0.31,0.21,0.37,0.03,0.02,0.03,0.00,0.00,0.00,1.06,0.02,1.06
74,3.02,-0.04,0.03,0.05,-0.30,0.14,0.34,0.02,0.02,0.03,0.00,0.00,0.00,1.06,0.02,1.06
75,3.06,-0.06,0.03,0.07,-0.67,0.05,0.67,0.02,0.02,0.03,0.00,0.00,0.00,1.02,0.01,1.02
76,3.10,-0.11,0.03,0.11,-1.63,0.08,1.64,0.02,0.02,0.03,0.00,0.00,0.00,0.91,0.01,0.91
77,3.15,-0.20,0.04,0.21,-3.01,0.13,3.01,0.02,0.03,0.03,0.00,0.00,0.00,0.76,0.01,0.76
78,3.19,-0.35,0.05,0.36,-4.18,0.24,4.19,0.01,0.03,0.03,0.00,0.00,0.00,0.63,0.03,0.63
79,3.23,-0.54,0.06,0.54,-4.46,0.40,4.48,-0.01,0.03,0.03,0.00,0.00,0.00,0.59,0.04,0.60
80,3.27,-0.71,0.08,0.71,-3.65,0.39,3.67,-0.04,0.03,0.05,0.00,0.00,0.00,0.68,0.04,0.69
81,3.31,-0.83,0.09,0.84,-2.10,0.25,2.11,-0.07,0.04,0.08,0.00,0.00,0.00,0.86,0.03,0.86
82,3.35,-0.88,0.10,0.89,-0.39,0.10,0.40,-0.11,0.04,0.12,0.00,0.00,0.00,1.05,0.01,1.05
83,3.40,-0.87,0.10,0.88,0.87,0.04,0.87,-0.15,0.04,0.16,0.00,0.00,0.00,1.19,0.00,1.19
