Weight (lbs):,111.13026281173174
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.45,-1.28,25650,1.09,8189
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.06,-0.09,31441,0.20,44651
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.48,0.00,44776,1.28,25650
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.22,-7.37,11481,5.05,20733
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.18,-0.69,3398,0.91,44651
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.29,0.00,44776,7.37,11481
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.79,30233,0.03,8398
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.02,5565,0.10,30816
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.44,0.00,0,0.79,30233
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.49,0.00,44776,1.35,8148
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,44776,0.02,44651
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.49,0.00,44776,1.35,8148
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.27,11481,1.65,20733
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.04,0.00,44776,0.10,44651
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.09,0.27,11481,1.65,20733
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
80,3.27,-0.54,0.03,0.55,0.60,0.18,0.63,-0.63,0.04,0.63,0.00,0.00,0.00,1.16,0.02,1.16
81,3.31,-0.52,0.04,0.52,0.59,-0.08,0.59,-0.65,0.05,0.65,0.00,0.00,0.00,1.16,0.00,1.16
82,3.36,-0.50,0.02,0.50,0.48,-0.50,0.69,-0.67,0.05,0.67,0.00,0.00,0.00,1.14,0.00,1.14
83,3.40,-0.48,-0.00,0.48,0.46,-0.69,0.83,-0.69,0.05,0.69,0.00,0.00,0.00,1.14,0.00,1.14
84,3.44,-0.45,-0.03,0.45,0.80,-0.40,0.89,-0.71,0.05,0.71,0.00,0.00,0.00,1.18,0.00,1.18
85,3.48,-0.41,-0.03,0.41,1.28,0.19,1.30,-0.73,0.05,0.73,0.00,0.00,0.00,1.23,0.02,1.23
86,3.52,-0.35,-0.02,0.35,1.73,0.46,1.79,-0.75,0.04,0.75,0.00,0.00,0.00,1.28,0.05,1.28
87,3.56,-0.26,0.00,0.26,2.43,0.43,2.47,-0.76,0.04,0.76,0.00,0.00,0.00,1.36,0.05,1.36
88,3.61,-0.15,0.02,0.15,3.15,0.31,3.16,-0.77,0.05,0.77,0.00,0.00,0.00,1.44,0.03,1.44
89,3.65,-0.01,0.03,0.03,3.48,0.13,3.49,-0.77,0.05,0.78,0.00,0.00,0.00,1.48,0.01,1.48
90,3.69,0.14,0.03,0.14,3.47,0.04,3.47,-0.77,0.05,0.77,0.21,0.00,0.21,1.48,0.00,1.48
91,3.73,0.28,0.03,0.28,2.94,-0.04,2.94,-0.76,0.05,0.76,0.39,0.00,0.39,1.42,0.00,1.42
92,3.77,0.38,0.03,0.38,2.01,-0.15,2.02,-0.75,0.05,0.75,0.50,0.00,0.50,1.31,0.00,1.31
93,3.81,0.45,0.02,0.45,1.20,-0.14,1.21,-0.73,0.05,0.73,0.55,0.00,0.55,1.22,0.00,1.22
94,3.86,0.48,0.02,0.48,0.57,-0.09,0.58,-0.71,0.05,0.71,0.56,0.00,0.56,1.15,0.00,1.15
95,3.90,0.50,0.01,0.50,0.10,-0.13,0.16,-0.68,0.05,0.69,0.55,0.00,0.55,1.10,0.00,1.10
96,3.94,0.50,0.00,0.50,0.02,-0.17,0.17,-0.66,0.05,0.67,0.54,0.00,0.54,1.09,0.00,1.09
97,3.98,0.50,-0.00,0.50,0.07,-0.16,0.18,-0.64,0.05,0.65,0.55,0.00,0.55,1.10,0.00,1.10
98,4.02,0.50,-0.01,0.50,-0.11,-0.20,0.23,-0.62,0.05,0.63,0.54,0.00,0.54,1.08,0.00,1.08
99,4.07,0.49,-0.02,0.49,-0.30,-0.20,0.37,-0.60,0.05,0.60,0.52,0.00,0.52,1.06,0.00,1.06
100,4.11,0.47,-0.03,0.48,-0.36,-0.14,0.38,-0.58,0.05,0.58,0.50,0.00,0.50,1.05,0.00,1.05
101,4.15,0.46,-0.03,0.46,-0.36,-0.12,0.38,-0.56,0.05,0.56,0.48,0.00,0.48,1.05,0.00,1.05
102,4.19,0.45,-0.03,0.45,-0.21,-0.10,0.24,-0.54,0.05,0.55,0.48,0.00,0.48,1.07,0.00,1.07
103,4.23,0.44,-0.04,0.44,-0.08,-0.09,0.12,-0.52,0.05,0.53,0.48,0.00,0.48,1.08,0.00,1.08
104,4.27,0.44,-0.05,0.44,-0.02,-0.20,0.20,-0.51,0.05,0.51,0.48,0.00,0.48,1.09,0.00,1.09
105,4.32,0.44,-0.05,0.45,0.19,-0.20,0.28,-0.49,0.04,0.49,0.49,0.00,0.49,1.11,0.00,1.11
106,4.36,0.46,-0.06,0.46,0.39,-0.13,0.41,-0.47,0.04,0.47,0.52,0.00,0.52,1.13,0.00,1.13
107,4.40,0.47,-0.07,0.48,0.44,-0.15,0.47,-0.45,0.04,0.45,0.54,0.00,0.54,1.14,0.00,1.14
108,4.44,0.49,-0.07,0.50,0.50,-0.16,0.53,-0.43,0.04,0.43,0.56,0.00,0.56,1.15,0.00,1.15
109,4.48,0.51,-0.08,0.52,0.50,-0.12,0.52,-0.41,0.03,0.41,0.59,0.00,0.59,1.15,0.00,1.15
110,4.52,0.54,-0.08,0.54,0.53,-0.10,0.54,-0.39,0.03,0.39,0.61,0.00,0.61,1.15,0.00,1.15
111,4.57,0.56,-0.09,0.57,0.78,-0.07,0.78,-0.37,0.03,0.37,0.66,0.00,0.66,1.18,0.00,1.18
112,4.61,0.60,-0.09,0.61,1.05,0.02,1.05,-0.34,0.02,0.34,0.72,0.00,0.72,1.21,0.00,1.21
113,4.65,0.65,-0.09,0.66,1.38,0.13,1.39,-0.32,0.02,0.32,0.81,0.00,0.81,1.24,0.01,1.24
114,4.69,0.72,-0.08,0.72,1.85,0.19,1.86,-0.29,0.01,0.29,0.93,0.00,0.93,1.30,0.02,1.30
115,4.73,0.80,-0.07,0.80,2.12,0.19,2.13,-0.26,0.01,0.26,1.06,0.00,1.06,1.33,0.02,1.33
116,4.77,0.89,-0.06,0.89,2.28,0.14,2.28,-0.22,0.01,0.22,1.20,0.00,1.20,1.34,0.02,1.34
117,4.82,0.98,-0.06,0.99,2.05,0.05,2.05,-0.18,0.01,0.18,1.30,0.00,1.30,1.32,0.01,1.32
118,4.86,1.04,-0.06,1.05,0.68,-0.04,0.68,-0.14,0.00,0.14,1.22,0.00,1.22,1.17,0.00,1.17
119,4.90,1.03,-0.06,1.03,-1.67,-0.11,1.68,-0.09,0.00,0.09,0.93,0.00,0.93,0.90,0.00,0.90
120,4.94,0.91,-0.07,0.91,-4.12,-0.15,4.13,-0.05,-0.00,0.05,0.57,0.00,0.57,0.63,0.00,0.63
121,4.98,0.69,-0.07,0.70,-5.89,0.01,5.89,-0.01,-0.00,0.01,0.30,0.00,0.30,0.44,0.00,0.44
122,5.02,0.43,-0.07,0.44,-6.44,0.23,6.44,0.01,-0.01,0.01,0.16,0.00,0.16,0.37,0.03,0.38
123,5.07,0.18,-0.06,0.19,-5.68,0.20,5.69,0.02,-0.01,0.03,0.08,0.00,0.08,0.46,0.02,0.46
124,5.11,-0.03,-0.05,0.06,-4.00,0.08,4.00,0.03,-0.01,0.03,0.00,0.00,0.00,0.65,0.01,0.65
125,5.15,-0.15,-0.05,0.16,-1.70,0.12,1.70,0.02,-0.01,0.02,0.00,0.00,0.00,0.90,0.01,0.90
126,5.19,-0.17,-0.04,0.17,0.79,0.27,0.84,0.01,-0.02,0.02,0.00,0.00,0.00,1.18,0.03,1.18
127,5.23,-0.10,-0.03,0.10,2.37,0.39,2.41,-0.00,-0.02,0.02,0.00,0.00,0.00,1.35,0.04,1.35
128,5.27,0.01,-0.01,0.01,2.32,0.33,2.35,-0.00,-0.02,0.02,0.01,0.00,0.01,1.35,0.04,1.35
129,5.32,0.08,-0.00,0.08,1.09,0.06,1.09,0.00,-0.02,0.02,0.10,0.00,0.10,1.21,0.01,1.21
130,5.36,0.09,-0.00,0.09,-0.44,-0.14,0.47,0.01,-0.02,0.02,0.10,0.00,0.10,1.04,0.00,1.04
131,5.40,0.05,-0.01,0.05,-1.35,-0.19,1.36,0.01,-0.02,0.02,0.05,0.00,0.05,0.94,0.00,0.94
132,5.44,-0.00,-0.02,0.02,-1.17,-0.14,1.18,0.01,-0.02,0.02,0.00,0.00,0.00,0.96,0.00,0.96
133,5.48,-0.04,-0.02,0.04,-0.40,0.05,0.40,0.01,-0.02,0.02,0.00,0.00,0.00,1.05,0.01,1.05
134,5.52,-0.04,-0.01,0.04,0.37,0.25,0.45,0.01,-0.02,0.02,0.00,0.00,0.00,1.13,0.03,1.13
135,5.57,-0.01,-0.00,0.01,0.85,0.31,0.90,0.01,-0.02,0.02,0.00,0.00,0.00,1.18,0.03,1.18
