Weight (lbs):,83.91468824559335
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.39,-1.03,2048,0.72,1615
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.08,-0.21,21115,0.36,25648
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.42,0.00,25915,1.04,2048
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.19,-7.37,1881,5.95,981
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.31,-1.29,1948,1.39,12115
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.30,0.00,25915,7.42,1881
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,-0.46,17915,0.03,16280
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.07,-0.08,915,0.29,25915
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.21,0.00,0,0.46,17915
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.33,0.00,25915,0.62,1581
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,25915,0.02,25181
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.33,0.00,25915,0.62,1581
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.82,0.20,1881,1.32,981
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,0.00,25915,0.12,12115
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.82,0.20,1881,1.32,981
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
69,2.25,-0.79,-0.10,0.80,0.91,0.71,1.15,-0.32,-0.05,0.33,0.00,0.00,0.00,0.90,0.06,0.90
70,2.28,-0.75,-0.07,0.75,1.48,0.63,1.61,-0.35,-0.06,0.36,0.00,0.00,0.00,0.95,0.05,0.95
71,2.31,-0.69,-0.06,0.69,2.03,0.36,2.06,-0.37,-0.06,0.38,0.00,0.00,0.00,0.99,0.03,0.99
72,2.35,-0.62,-0.05,0.62,2.63,0.03,2.63,-0.40,-0.06,0.40,0.00,0.00,0.00,1.04,0.00,1.04
73,2.38,-0.51,-0.05,0.51,3.68,-0.08,3.68,-0.42,-0.06,0.42,0.00,0.00,0.00,1.13,0.00,1.13
74,2.42,-0.37,-0.05,0.38,4.64,0.19,4.64,-0.43,-0.07,0.44,0.00,0.00,0.00,1.21,0.02,1.21
75,2.45,-0.21,-0.04,0.21,5.13,0.46,5.15,-0.44,-0.07,0.45,0.00,0.00,0.00,1.25,0.04,1.25
76,2.48,-0.03,-0.03,0.04,5.23,0.30,5.23,-0.45,-0.07,0.45,0.00,0.00,0.00,1.26,0.03,1.26
77,2.52,0.13,-0.02,0.14,4.80,-0.00,4.80,-0.44,-0.07,0.45,0.16,0.00,0.16,1.23,0.00,1.23
78,2.55,0.28,-0.02,0.28,4.16,-0.02,4.16,-0.44,-0.07,0.44,0.33,0.00,0.33,1.17,0.00,1.17
79,2.58,0.41,-0.02,0.41,3.34,0.09,3.34,-0.42,-0.07,0.43,0.45,0.00,0.45,1.10,0.01,1.10
80,2.62,0.50,-0.02,0.50,2.17,0.19,2.17,-0.41,-0.07,0.41,0.50,0.00,0.50,1.00,0.02,1.01
81,2.65,0.56,-0.01,0.56,1.12,0.35,1.18,-0.39,-0.07,0.40,0.51,0.00,0.51,0.92,0.03,0.92
82,2.68,0.58,0.01,0.58,0.45,0.45,0.64,-0.37,-0.07,0.38,0.50,0.00,0.50,0.86,0.04,0.86
83,2.71,0.59,0.02,0.59,0.00,0.46,0.46,-0.35,-0.07,0.36,0.48,0.00,0.48,0.82,0.04,0.82
84,2.75,0.58,0.04,0.59,-0.25,0.40,0.47,-0.33,-0.07,0.34,0.47,0.00,0.47,0.80,0.03,0.80
85,2.78,0.57,0.05,0.58,-0.36,0.17,0.40,-0.31,-0.07,0.32,0.46,0.00,0.46,0.79,0.01,0.79
86,2.81,0.56,0.05,0.56,-0.31,0.02,0.31,-0.29,-0.07,0.30,0.45,0.00,0.45,0.80,0.00,0.80
87,2.85,0.56,0.05,0.56,-0.06,0.12,0.13,-0.27,-0.06,0.28,0.45,0.00,0.45,0.82,0.01,0.82
88,2.88,0.56,0.06,0.56,0.26,0.36,0.44,-0.26,-0.06,0.26,0.47,0.00,0.47,0.84,0.03,0.85
89,2.92,0.57,0.07,0.57,0.33,0.55,0.64,-0.24,-0.06,0.24,0.48,0.00,0.48,0.85,0.05,0.85
90,2.95,0.58,0.09,0.58,0.11,0.54,0.55,-0.22,-0.06,0.23,0.48,0.00,0.48,0.83,0.05,0.83
91,2.98,0.58,0.11,0.59,-0.11,0.41,0.42,-0.20,-0.06,0.21,0.47,0.00,0.47,0.81,0.03,0.81
92,3.02,0.57,0.12,0.58,-0.10,0.17,0.20,-0.18,-0.05,0.19,0.47,0.00,0.47,0.81,0.01,0.81
93,3.05,0.57,0.12,0.58,0.02,-0.04,0.04,-0.16,-0.05,0.17,0.47,0.00,0.47,0.82,0.00,0.82
94,3.08,0.57,0.12,0.59,0.20,-0.03,0.20,-0.14,-0.04,0.15,0.48,0.00,0.48,0.84,0.00,0.84
95,3.12,0.59,0.12,0.60,0.42,0.03,0.42,-0.12,-0.04,0.13,0.50,0.00,0.50,0.86,0.00,0.86
96,3.15,0.60,0.12,0.61,0.39,0.00,0.39,-0.10,-0.04,0.11,0.51,0.00,0.51,0.86,0.00,0.86
97,3.18,0.61,0.12,0.62,-0.02,-0.25,0.25,-0.08,-0.03,0.09,0.50,0.00,0.50,0.82,0.00,0.82
98,3.21,0.60,0.10,0.60,-0.61,-0.60,0.86,-0.06,-0.03,0.07,0.46,0.00,0.46,0.77,0.00,0.77
99,3.25,0.56,0.08,0.57,-1.31,-0.63,1.46,-0.04,-0.02,0.05,0.40,0.00,0.40,0.71,0.00,0.71
100,3.28,0.50,0.06,0.51,-2.22,-0.38,2.25,-0.02,-0.02,0.03,0.32,0.00,0.32,0.64,0.00,0.64
101,3.31,0.41,0.05,0.42,-3.29,-0.22,3.30,-0.01,-0.02,0.02,0.23,0.00,0.23,0.55,0.00,0.55
102,3.35,0.28,0.05,0.29,-4.62,-0.29,4.62,0.01,-0.02,0.02,0.12,0.00,0.12,0.44,0.00,0.44
103,3.38,0.11,0.03,0.11,-5.98,-0.53,6.00,0.02,-0.02,0.02,0.03,0.00,0.03,0.32,0.00,0.32
104,3.42,-0.11,0.01,0.11,-6.86,-0.83,6.91,0.02,-0.02,0.02,0.00,0.00,0.00,0.25,0.00,0.25
105,3.45,-0.34,-0.02,0.34,-7.07,-1.07,7.15,0.01,-0.02,0.02,0.00,0.00,0.00,0.23,0.00,0.23
106,3.48,-0.57,-0.06,0.57,-6.54,-1.17,6.64,-0.01,-0.02,0.02,0.00,0.00,0.00,0.27,0.00,0.27
107,3.52,-0.77,-0.10,0.77,-5.09,-1.10,5.20,-0.03,-0.02,0.04,0.00,0.00,0.00,0.40,0.00,0.40
108,3.55,-0.90,-0.13,0.91,-2.98,-0.77,3.08,-0.06,-0.02,0.07,0.00,0.00,0.00,0.57,0.00,0.57
109,3.58,-0.97,-0.15,0.98,-0.96,-0.17,0.97,-0.09,-0.03,0.10,0.00,0.00,0.00,0.74,0.00,0.74
110,3.62,-0.97,-0.14,0.98,0.51,0.31,0.59,-0.13,-0.03,0.13,0.00,0.00,0.00,0.87,0.03,0.87
111,3.65,-0.94,-0.13,0.95,1.25,0.43,1.32,-0.16,-0.04,0.17,0.00,0.00,0.00,0.93,0.04,0.93
112,3.68,-0.90,-0.12,0.90,1.55,0.38,1.60,-0.19,-0.04,0.20,0.00,0.00,0.00,0.95,0.03,0.95
113,3.71,-0.84,-0.11,0.85,1.79,0.30,1.82,-0.22,-0.05,0.23,0.00,0.00,0.00,0.97,0.03,0.97
114,3.75,-0.78,-0.10,0.79,1.64,0.20,1.66,-0.25,-0.05,0.25,0.00,0.00,0.00,0.96,0.02,0.96
115,3.78,-0.74,-0.09,0.74,0.96,0.21,0.98,-0.27,-0.05,0.28,0.00,0.00,0.00,0.90,0.02,0.90
116,3.81,-0.71,-0.08,0.72,0.36,0.37,0.52,-0.30,-0.06,0.30,0.00,0.00,0.00,0.85,0.03,0.85
117,3.85,-0.71,-0.07,0.71,0.20,0.40,0.45,-0.32,-0.06,0.32,0.00,0.00,0.00,0.84,0.03,0.84
118,3.88,-0.70,-0.06,0.70,0.56,0.29,0.63,-0.34,-0.06,0.35,0.00,0.00,0.00,0.87,0.02,0.87
119,3.92,-0.66,-0.05,0.66,1.42,0.17,1.43,-0.37,-0.06,0.37,0.00,0.00,0.00,0.94,0.01,0.94
120,3.95,-0.60,-0.05,0.60,2.37,0.05,2.37,-0.39,-0.06,0.39,0.00,0.00,0.00,1.02,0.00,1.02
121,3.98,-0.51,-0.04,0.51,3.31,0.19,3.31,-0.41,-0.07,0.41,0.00,0.00,0.00,1.10,0.02,1.10
122,4.01,-0.38,-0.03,0.38,4.29,0.51,4.32,-0.42,-0.07,0.43,0.00,0.00,0.00,1.18,0.04,1.18
123,4.05,-0.22,-0.01,0.22,5.07,0.52,5.10,-0.43,-0.07,0.44,0.00,0.00,0.00,1.25,0.04,1.25
124,4.08,-0.05,0.00,0.05,5.31,0.42,5.32,-0.44,-0.07,0.44,0.00,0.00,0.00,1.27,0.04,1.27
125,4.12,0.12,0.02,0.12,4.81,0.42,4.83,-0.44,-0.07,0.44,0.15,0.00,0.15,1.23,0.04,1.23
126,4.15,0.27,0.03,0.27,3.77,0.38,3.79,-0.43,-0.07,0.44,0.30,0.00,0.30,1.14,0.03,1.14
127,4.18,0.37,0.04,0.38,2.73,0.25,2.75,-0.42,-0.07,0.42,0.39,0.00,0.39,1.05,0.02,1.05
128,4.21,0.45,0.05,0.45,1.95,0.10,1.95,-0.40,-0.06,0.41,0.45,0.00,0.45,0.99,0.01,0.99
129,4.25,0.51,0.05,0.51,1.42,0.09,1.42,-0.39,-0.06,0.39,0.48,0.00,0.48,0.94,0.01,0.94
130,4.28,0.55,0.06,0.55,0.91,0.32,0.97,-0.37,-0.06,0.37,0.49,0.00,0.49,0.90,0.03,0.90
131,4.32,0.57,0.07,0.57,0.17,0.52,0.55,-0.35,-0.06,0.35,0.47,0.00,0.47,0.84,0.04,0.84
132,4.35,0.56,0.09,0.57,-0.35,0.42,0.54,-0.33,-0.06,0.33,0.45,0.00,0.45,0.79,0.04,0.79
133,4.38,0.55,0.10,0.56,-0.19,0.09,0.22,-0.31,-0.05,0.32,0.44,0.00,0.44,0.81,0.01,0.81
134,4.42,0.55,0.09,0.56,0.18,-0.14,0.23,-0.29,-0.05,0.30,0.46,0.00,0.46,0.84,0.00,0.84
135,4.45,0.56,0.09,0.57,0.30,-0.19,0.35,-0.28,-0.05,0.28,0.47,0.00,0.47,0.85,0.00,0.85
136,4.48,0.57,0.08,0.57,0.14,-0.06,0.15,-0.26,-0.04,0.26,0.47,0.00,0.47,0.83,0.00,0.83
137,4.51,0.57,0.09,0.57,-0.14,0.13,0.19,-0.24,-0.04,0.24,0.46,0.00,0.46,0.81,0.01,0.81
138,4.55,0.56,0.09,0.57,-0.14,0.26,0.29,-0.22,-0.04,0.22,0.46,0.00,0.46,0.81,0.02,0.81
139,4.58,0.56,0.10,0.57,0.21,0.31,0.38,-0.20,-0.03,0.20,0.47,0.00,0.47,0.84,0.03,0.84
140,4.62,0.57,0.11,0.58,0.44,0.15,0.46,-0.18,-0.03,0.18,0.49,0.00,0.49,0.86,0.01,0.86
141,4.65,0.59,0.11,0.60,0.46,-0.14,0.48,-0.16,-0.03,0.16,0.51,0.00,0.51,0.86,0.00,0.86
142,4.68,0.60,0.10,0.61,0.31,-0.26,0.40,-0.14,-0.02,0.14,0.51,0.00,0.51,0.85,0.00,0.85
143,4.71,0.61,0.09,0.62,0.07,-0.23,0.24,-0.12,-0.02,0.12,0.50,0.00,0.50,0.83,0.00,0.83
144,4.75,0.61,0.09,0.62,-0.01,-0.17,0.17,-0.10,-0.02,0.10,0.50,0.00,0.50,0.82,0.00,0.82
145,4.78,0.61,0.08,0.61,-0.03,-0.29,0.29,-0.08,-0.01,0.08,0.50,0.00,0.50,0.82,0.00,0.82
146,4.82,0.60,0.07,0.61,-0.19,-0.54,0.58,-0.06,-0.01,0.06,0.49,0.00,0.49,0.81,0.00,0.81
147,4.85,0.59,0.05,0.59,-0.76,-0.57,0.95,-0.04,-0.01,0.04,0.45,0.00,0.45,0.76,0.00,0.76
148,4.88,0.55,0.03,0.55,-1.88,-0.35,1.91,-0.02,-0.01,0.02,0.36,0.00,0.36,0.67,0.00,0.67
149,4.92,0.46,0.02,0.46,-3.14,-0.09,3.14,-0.00,-0.01,0.01,0.26,0.00,0.26,0.56,0.00,0.56
150,4.95,0.34,0.02,0.34,-4.43,-0.04,4.43,0.01,-0.01,0.01,0.15,0.00,0.15,0.45,0.00,0.45
151,4.98,0.17,0.02,0.17,-5.78,-0.44,5.80,0.02,-0.01,0.02,0.06,0.00,0.06,0.34,0.00,0.34
152,5.01,-0.04,-0.01,0.04,-6.81,-0.89,6.87,0.03,-0.00,0.03,0.00,0.00,0.00,0.25,0.00,0.25
153,5.05,-0.28,-0.04,0.28,-7.28,-1.01,7.35,0.02,-0.01,0.02,0.00,0.00,0.00,0.21,0.00,0.21
154,5.08,-0.52,-0.07,0.52,-6.83,-0.87,6.89,0.01,-0.01,0.01,0.00,0.00,0.00,0.25,0.00,0.25
