Weight (lbs):,149.68566011376112
,
"velocity (vertical, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.41,-2.51,34900,1.26,35033
,
"velocity (horizontal, m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.05,-0.14,11033,0.11,6000
,
"velocity (m/s)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.42,0.00,35350,2.51,34900
,
"acceleration (vertical, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.82,-11,35266,20,35000
,
"acceleration (horizontal, m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.46,-2.63,14600,2.74,34783
,
"acceleration (m/s^2)",
video,average,min,time of min (ms),max,time of max (ms)
1,2.10,0.00,35350,20,14600
,
"displacement (vertical, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.37,-0.02,30766,0.64,13883
,
"displacement (horizontal, m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.03,-0.06,30950,0.03,10466
,
"displacement (m)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.29,0.00,0,0.64,13883
,
"power (vertical, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.59,0.00,35350,4.58,35016
,
"power (horizontal, kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.00,0.00,35350,0.02,10033
,
"power (kW)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.59,0.00,35350,4.58,35016
,
"force (vertical, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.46,0.00,35283,4.46,35000
,
"force (horizontal, kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,0.09,0.00,35350,0.41,34783
,
"force (kN)",
video,average,min,time of min (ms),max,time of max (ms)
1,1.45,0.00,35266,4.47,10866
,
Frame number,Time (s),"velocity (vertical, m/s)","velocity (horizontal, m/s)","velocity (m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","acceleration (m/s^2)","displacement (vertical, m)","displacement (horizontal, m)","displacement (m)","power (vertical, kW)","power (horizontal, kW)","power (kW)","force (vertical, kN)","force (horizontal, kN)","force (kN)"
82,1.33,0.68,0.06,0.68,1.79,0.27,1.81,0.25,0.02,0.26,1.18,0.00,1.18,1.74,0.04,1.74
83,1.35,0.71,0.06,0.71,1.47,-0.48,1.54,0.27,0.03,0.27,1.19,0.00,1.19,1.69,0.00,1.69
84,1.37,0.73,0.04,0.73,0.78,-1.43,1.63,0.28,0.03,0.28,1.15,0.00,1.15,1.59,0.00,1.59
85,1.38,0.73,0.01,0.73,-0.08,-2.10,2.10,0.29,0.03,0.29,1.06,0.00,1.06,1.46,0.00,1.46
86,1.40,0.72,-0.02,0.72,-0.78,-2.02,2.16,0.30,0.03,0.30,0.98,0.00,0.98,1.35,0.00,1.35
87,1.42,0.71,-0.05,0.71,-0.93,-1.15,1.48,0.32,0.03,0.32,0.94,0.00,0.94,1.33,0.00,1.33
88,1.43,0.70,-0.06,0.70,-0.37,0.10,0.38,0.33,0.03,0.33,0.99,0.00,0.99,1.41,0.02,1.41
89,1.45,0.70,-0.05,0.70,0.55,1.14,1.27,0.34,0.02,0.34,1.08,0.00,1.08,1.55,0.17,1.56
90,1.47,0.71,-0.02,0.71,1.12,1.58,1.93,0.35,0.02,0.35,1.17,0.00,1.17,1.64,0.24,1.65
91,1.48,0.73,0.00,0.73,0.90,1.40,1.67,0.36,0.02,0.36,1.17,0.00,1.17,1.60,0.21,1.62
92,1.50,0.74,0.02,0.74,-0.03,0.81,0.81,0.37,0.02,0.37,1.08,0.00,1.08,1.46,0.12,1.47
93,1.52,0.73,0.03,0.73,-1.03,0.06,1.04,0.39,0.02,0.39,0.96,0.00,0.96,1.31,0.01,1.31
94,1.53,0.71,0.03,0.71,-1.28,-0.49,1.37,0.40,0.03,0.40,0.91,0.00,0.91,1.28,0.00,1.28
95,1.55,0.69,0.02,0.69,-0.53,-0.57,0.78,0.41,0.03,0.41,0.96,0.00,0.96,1.39,0.00,1.39
96,1.57,0.69,0.01,0.69,0.58,-0.29,0.65,0.42,0.03,0.42,1.08,0.00,1.08,1.56,0.00,1.56
97,1.58,0.71,0.01,0.71,1.42,-0.02,1.42,0.43,0.03,0.43,1.20,0.00,1.20,1.68,0.00,1.68
98,1.60,0.74,0.01,0.74,1.80,0.02,1.80,0.44,0.03,0.44,1.28,0.00,1.28,1.74,0.00,1.74
99,1.62,0.77,0.01,0.77,1.49,-0.11,1.50,0.46,0.03,0.46,1.30,0.00,1.30,1.69,0.00,1.69
100,1.63,0.78,0.00,0.78,0.52,-0.42,0.67,0.47,0.03,0.47,1.21,0.00,1.21,1.55,0.00,1.55
101,1.65,0.78,-0.01,0.78,-0.52,-0.89,1.03,0.48,0.03,0.48,1.09,0.00,1.09,1.39,0.00,1.39
102,1.67,0.77,-0.03,0.77,-1.20,-1.25,1.73,0.50,0.03,0.50,0.99,0.00,0.99,1.29,0.00,1.29
103,1.68,0.74,-0.05,0.75,-1.71,-1.26,2.13,0.51,0.03,0.51,0.90,0.00,0.90,1.21,0.00,1.21
104,1.70,0.71,-0.07,0.72,-2.09,-0.82,2.25,0.52,0.02,0.52,0.82,0.00,0.82,1.15,0.00,1.15
105,1.72,0.68,-0.07,0.68,-2.20,-0.03,2.20,0.53,0.02,0.53,0.77,0.00,0.77,1.14,0.00,1.14
106,1.73,0.64,-0.07,0.64,-2.34,0.71,2.45,0.54,0.02,0.55,0.71,0.00,0.71,1.12,0.11,1.12
107,1.75,0.60,-0.05,0.60,-2.83,1.09,3.04,0.55,0.02,0.56,0.62,0.00,0.62,1.04,0.16,1.06
108,1.77,0.54,-0.03,0.55,-3.25,1.16,3.45,0.56,0.02,0.57,0.53,0.00,0.53,0.98,0.17,1.00
109,1.78,0.49,-0.02,0.49,-3.12,1.01,3.28,0.57,0.02,0.57,0.49,0.00,0.49,1.00,0.15,1.01
110,1.80,0.44,-0.00,0.44,-2.74,0.75,2.84,0.58,0.02,0.58,0.47,0.00,0.47,1.06,0.11,1.06
111,1.82,0.40,0.01,0.40,-2.57,0.53,2.62,0.59,0.02,0.59,0.43,0.00,0.43,1.08,0.08,1.09
112,1.83,0.36,0.02,0.36,-2.54,0.53,2.59,0.59,0.02,0.59,0.39,0.00,0.39,1.09,0.08,1.09
113,1.85,0.31,0.03,0.31,-2.69,0.59,2.76,0.60,0.02,0.60,0.33,0.00,0.33,1.07,0.09,1.07
114,1.87,0.26,0.04,0.27,-3.20,0.35,3.22,0.61,0.02,0.61,0.26,0.00,0.26,0.99,0.05,0.99
115,1.88,0.21,0.04,0.21,-3.63,-0.16,3.63,0.61,0.02,0.61,0.19,0.00,0.19,0.93,0.00,0.93
116,1.90,0.15,0.03,0.15,-3.52,-0.60,3.57,0.61,0.02,0.61,0.14,0.00,0.14,0.94,0.00,0.94
117,1.92,0.09,0.02,0.09,-3.17,-0.78,3.26,0.61,0.02,0.61,0.09,0.00,0.09,0.99,0.00,0.99
118,1.93,0.04,0.01,0.04,-2.96,-0.72,3.05,0.62,0.02,0.62,0.04,0.00,0.04,1.02,0.00,1.02
119,1.95,-0.01,-0.00,0.01,-2.72,-0.62,2.79,0.62,0.02,0.62,0.00,0.00,0.00,1.06,0.00,1.06
120,1.97,-0.05,-0.01,0.05,-2.09,-0.63,2.18,0.61,0.02,0.62,0.00,0.00,0.00,1.16,0.00,1.16
121,1.98,-0.07,-0.02,0.08,-1.09,-0.69,1.29,0.61,0.02,0.61,0.00,0.00,0.00,1.31,0.00,1.31
122,2.00,-0.08,-0.04,0.09,-0.09,-0.56,0.57,0.61,0.02,0.61,0.00,0.00,0.00,1.45,0.00,1.45
123,2.02,-0.08,-0.04,0.09,0.54,-0.20,0.58,0.61,0.02,0.61,0.00,0.00,0.00,1.55,0.00,1.55
124,2.03,-0.07,-0.04,0.08,0.71,0.10,0.72,0.61,0.02,0.61,0.00,0.00,0.00,1.57,0.02,1.57
125,2.05,-0.06,-0.04,0.07,0.63,0.14,0.64,0.61,0.02,0.61,0.00,0.00,0.00,1.56,0.02,1.56
126,2.07,-0.05,-0.04,0.06,0.53,-0.04,0.53,0.61,0.02,0.61,0.00,0.00,0.00,1.55,0.00,1.55
127,2.08,-0.04,-0.04,0.06,0.41,-0.29,0.50,0.61,0.02,0.61,0.00,0.00,0.00,1.53,0.00,1.53
128,2.10,-0.03,-0.05,0.06,0.27,-0.40,0.48,0.60,0.02,0.61,0.00,0.00,0.00,1.51,0.00,1.51
129,2.12,-0.03,-0.05,0.06,0.15,-0.20,0.25,0.60,0.02,0.60,0.00,0.00,0.00,1.49,0.00,1.49
130,2.13,-0.03,-0.05,0.06,0.02,0.29,0.29,0.60,0.02,0.60,0.00,0.00,0.00,1.47,0.04,1.47
131,2.15,-0.03,-0.04,0.05,0.03,0.75,0.75,0.60,0.01,0.60,0.00,0.00,0.00,1.47,0.11,1.48
132,2.17,-0.03,-0.03,0.04,0.43,0.79,0.90,0.60,0.01,0.60,0.00,0.00,0.00,1.53,0.12,1.54
133,2.18,-0.01,-0.02,0.02,1.00,0.43,1.09,0.60,0.01,0.60,0.00,0.00,0.00,1.62,0.07,1.62
134,2.20,0.01,-0.02,0.02,1.26,0.04,1.26,0.60,0.01,0.60,0.01,0.00,0.01,1.66,0.01,1.66
135,2.22,0.03,-0.02,0.03,1.11,-0.13,1.11,0.60,0.01,0.60,0.04,0.00,0.04,1.63,0.00,1.63
136,2.23,0.04,-0.02,0.05,0.79,-0.17,0.81,0.60,0.01,0.60,0.06,0.00,0.06,1.59,0.00,1.59
137,2.25,0.05,-0.02,0.05,0.26,-0.09,0.27,0.60,0.01,0.60,0.08,0.00,0.08,1.51,0.00,1.51
138,2.27,0.05,-0.02,0.05,-0.52,0.13,0.54,0.61,0.01,0.61,0.07,0.00,0.07,1.39,0.02,1.39
139,2.28,0.03,-0.02,0.04,-1.10,0.41,1.17,0.61,0.01,0.61,0.04,0.00,0.04,1.30,0.06,1.31
140,2.30,0.01,-0.01,0.02,-1.11,0.59,1.26,0.61,0.01,0.61,0.02,0.00,0.02,1.30,0.09,1.30
141,2.32,-0.00,0.00,0.00,-0.81,0.69,1.06,0.61,0.01,0.61,0.00,0.00,0.00,1.35,0.10,1.35
142,2.33,-0.01,0.01,0.02,-0.49,0.76,0.90,0.61,0.01,0.61,0.00,0.00,0.00,1.40,0.11,1.40
143,2.35,-0.02,0.03,0.03,-0.20,0.65,0.68,0.61,0.01,0.61,0.00,0.00,0.00,1.44,0.10,1.44
144,2.37,-0.02,0.03,0.04,-0.06,0.31,0.32,0.61,0.01,0.61,0.00,0.00,0.00,1.46,0.05,1.46
145,2.38,-0.02,0.04,0.04,-0.20,0.01,0.20,0.61,0.01,0.61,0.00,0.00,0.00,1.44,0.00,1.44
146,2.40,-0.03,0.04,0.04,-0.48,-0.12,0.49,0.61,0.01,0.61,0.00,0.00,0.00,1.40,0.00,1.40
147,2.42,-0.04,0.03,0.05,-0.71,-0.29,0.77,0.60,0.01,0.61,0.00,0.00,0.00,1.36,0.00,1.36
148,2.43,-0.05,0.02,0.06,-1.13,-0.58,1.28,0.60,0.01,0.60,0.00,0.00,0.00,1.30,0.00,1.30
149,2.45,-0.08,0.01,0.08,-2.10,-0.76,2.23,0.60,0.02,0.60,0.00,0.00,0.00,1.15,0.00,1.15
150,2.47,-0.12,0.00,0.12,-3.39,-0.61,3.45,0.60,0.02,0.60,0.00,0.00,0.00,0.96,0.00,0.96
151,2.48,-0.19,-0.01,0.19,-4.37,-0.24,4.38,0.60,0.02,0.60,0.00,0.00,0.00,0.81,0.00,0.81
152,2.50,-0.27,-0.01,0.27,-4.76,0.17,4.76,0.60,0.01,0.60,0.00,0.00,0.00,0.76,0.03,0.76
153,2.52,-0.34,0.00,0.34,-4.66,0.55,4.69,0.59,0.01,0.59,0.00,0.00,0.00,0.77,0.08,0.78
154,2.53,-0.42,0.01,0.42,-4.38,0.70,4.43,0.58,0.01,0.58,0.00,0.00,0.00,0.81,0.10,0.82
155,2.55,-0.49,0.02,0.49,-4.43,0.31,4.44,0.58,0.02,0.58,0.00,0.00,0.00,0.81,0.05,0.81
156,2.57,-0.57,0.02,0.57,-5.09,-0.54,5.12,0.57,0.02,0.57,0.00,0.00,0.00,0.71,0.00,0.71
157,2.58,-0.66,0.00,0.66,-5.99,-1.21,6.11,0.56,0.02,0.56,0.00,0.00,0.00,0.57,0.00,0.57
158,2.60,-0.77,-0.02,0.77,-6.44,-1.17,6.54,0.55,0.02,0.55,0.00,0.00,0.00,0.51,0.00,0.51
159,2.62,-0.87,-0.03,0.87,-6.22,-0.62,6.25,0.53,0.02,0.53,0.00,0.00,0.00,0.54,0.00,0.54
